,date,cm_C,cm_P,nm_C,nm_P,cq_C,cq_P,nq_C,nq_P,etf变动,etf绝对值
176,9/20/2017,-0.653649029,-0.419145946,0.100799711,0.109907983,-0.410039708,-0.473593417,-0.071740511,-0.135531525,-0.001103144,0.001103144
177,9/21/2017,0.343384622,0.537440758,-0.228348941,-0.134847466,0.441191826,0.512688784,0.207821417,0.514252631,0.004233389,0.004233389
178,9/22/2017,0.130736272,0.145692304,0.558682996,0.749639838,0.344198127,0.752344097,0.553311293,0.608227333,0.000549853,0.000549853
179,9/25/2017,0.018745658,0.413443526,-0.185010194,-0.238010515,0.059091133,0.036514254,-0.203455153,-0.162918557,-0.000366367,0.000366367
180,9/26/2017,0.181582818,0.358501205,-0.052183842,0.044232111,0.044262837,0.145261561,0.084698368,0.114305921,0.000733003,0.000733003
181,9/27/2017,-0.037103745,-0.01751887,0.053734495,0.027247406,0.045865917,0.031058471,0.039572446,0.00860981,-0.007324666,0.007324666
182,9/28/2017,-0.117340316,-0.116605655,-0.103281742,-0.097428126,-0.114561838,-0.104051219,-0.128375409,-0.144338505,0.001844678,0.001844678
183,9/29/2017,0.208785385,0.192082141,-0.183019703,-0.144831893,-0.352451984,-0.475360035,0.301791549,0.183717056,0.004050819,0.004050819
184,10/9/2017,0.843612103,0.941477249,0.818713265,0.849945972,0.739264753,0.76198079,0.748294808,0.777867874,0.008435723,0.008435723
185,10/10/2017,-0.869439866,-0.841611887,-0.716006301,-0.735006128,-0.460301493,-0.557697494,0.308346783,0.137229184,-0.00145481,0.00145481
186,10/11/2017,-0.843091511,-0.878166977,-0.714822433,-0.686395423,0.263776582,0.172390885,-0.024938169,-0.049004916,0.005827718,0.005827718
187,10/12/2017,-0.857027497,-0.84910268,-0.70978258,-0.77862881,-0.50566445,-0.295633612,-0.495862369,-0.417293576,0.004345464,0.004345464
