,expiry,date,strike,id,type,path,is_atm
126,20170628,20170105,2200,10000830,P,E:/Pycharm/data/option_data\20170628\20170105\2200\10000830P\10000830vols_data.csv,0
127,20170125,20170106,2250,10000749,C,E:/Pycharm/data/option_data\20170125\20170106\2250\10000749C\10000749vols_data.csv,0
128,20170125,20170106,2300,10000777,C,E:/Pycharm/data/option_data\20170125\20170106\2300\10000777C\10000777vols_data.csv,1
129,20170125,20170106,2350,10000778,C,E:/Pycharm/data/option_data\20170125\20170106\2350\10000778C\10000778vols_data.csv,0
130,20170125,20170106,2400,10000779,C,E:/Pycharm/data/option_data\20170125\20170106\2400\10000779C\10000779vols_data.csv,0
131,20170125,20170106,2450,10000780,C,E:/Pycharm/data/option_data\20170125\20170106\2450\10000780C\10000780vols_data.csv,0
132,20170125,20170106,2500,10000781,C,E:/Pycharm/data/option_data\20170125\20170106\2500\10000781C\10000781vols_data.csv,0
133,20170125,20170106,2200,10000825,C,E:/Pycharm/data/option_data\20170125\20170106\2200\10000825C\10000825vols_data.csv,0
134,20170125,20170106,2250,10000754,P,E:/Pycharm/data/option_data\20170125\20170106\2250\10000754P\10000754vols_data.csv,0
135,20170125,20170106,2300,10000782,P,E:/Pycharm/data/option_data\20170125\20170106\2300\10000782P\10000782vols_data.csv,1
136,20170125,20170106,2350,10000783,P,E:/Pycharm/data/option_data\20170125\20170106\2350\10000783P\10000783vols_data.csv,0
137,20170125,20170106,2200,10000826,P,E:/Pycharm/data/option_data\20170125\20170106\2200\10000826P\10000826vols_data.csv,0
138,20170222,20170106,2200,10000831,C,E:/Pycharm/data/option_data\20170222\20170106\2200\10000831C\10000831vols_data.csv,0
139,20170222,20170106,2250,10000832,C,E:/Pycharm/data/option_data\20170222\20170106\2250\10000832C\10000832vols_data.csv,0
140,20170222,20170106,2300,10000833,C,E:/Pycharm/data/option_data\20170222\20170106\2300\10000833C\10000833vols_data.csv,1
141,20170222,20170106,2350,10000834,C,E:/Pycharm/data/option_data\20170222\20170106\2350\10000834C\10000834vols_data.csv,0
142,20170222,20170106,2400,10000835,C,E:/Pycharm/data/option_data\20170222\20170106\2400\10000835C\10000835vols_data.csv,0
143,20170222,20170106,2450,10000841,C,E:/Pycharm/data/option_data\20170222\20170106\2450\10000841C\10000841vols_data.csv,0
144,20170222,20170106,2200,10000836,P,E:/Pycharm/data/option_data\20170222\20170106\2200\10000836P\10000836vols_data.csv,0
145,20170222,20170106,2250,10000837,P,E:/Pycharm/data/option_data\20170222\20170106\2250\10000837P\10000837vols_data.csv,0
146,20170222,20170106,2300,10000838,P,E:/Pycharm/data/option_data\20170222\20170106\2300\10000838P\10000838vols_data.csv,1
147,20170222,20170106,2350,10000839,P,E:/Pycharm/data/option_data\20170222\20170106\2350\10000839P\10000839vols_data.csv,0
148,20170322,20170106,2250,10000675,C,E:/Pycharm/data/option_data\20170322\20170106\2250\10000675C\10000675vols_data.csv,0
149,20170322,20170106,2300,10000787,C,E:/Pycharm/data/option_data\20170322\20170106\2300\10000787C\10000787vols_data.csv,1
150,20170322,20170106,2350,10000788,C,E:/Pycharm/data/option_data\20170322\20170106\2350\10000788C\10000788vols_data.csv,0
151,20170322,20170106,2400,10000789,C,E:/Pycharm/data/option_data\20170322\20170106\2400\10000789C\10000789vols_data.csv,0
152,20170322,20170106,2450,10000790,C,E:/Pycharm/data/option_data\20170322\20170106\2450\10000790C\10000790vols_data.csv,0
153,20170322,20170106,2500,10000791,C,E:/Pycharm/data/option_data\20170322\20170106\2500\10000791C\10000791vols_data.csv,0
154,20170322,20170106,2200,10000827,C,E:/Pycharm/data/option_data\20170322\20170106\2200\10000827C\10000827vols_data.csv,0
155,20170322,20170106,2250,10000680,P,E:/Pycharm/data/option_data\20170322\20170106\2250\10000680P\10000680vols_data.csv,0
156,20170322,20170106,2300,10000792,P,E:/Pycharm/data/option_data\20170322\20170106\2300\10000792P\10000792vols_data.csv,1
157,20170322,20170106,2350,10000793,P,E:/Pycharm/data/option_data\20170322\20170106\2350\10000793P\10000793vols_data.csv,0
158,20170322,20170106,2200,10000828,P,E:/Pycharm/data/option_data\20170322\20170106\2200\10000828P\10000828vols_data.csv,0
159,20170628,20170106,2250,10000729,C,E:/Pycharm/data/option_data\20170628\20170106\2250\10000729C\10000729vols_data.csv,0
160,20170628,20170106,2300,10000797,C,E:/Pycharm/data/option_data\20170628\20170106\2300\10000797C\10000797vols_data.csv,1
161,20170628,20170106,2350,10000798,C,E:/Pycharm/data/option_data\20170628\20170106\2350\10000798C\10000798vols_data.csv,0
162,20170628,20170106,2400,10000799,C,E:/Pycharm/data/option_data\20170628\20170106\2400\10000799C\10000799vols_data.csv,0
163,20170628,20170106,2450,10000800,C,E:/Pycharm/data/option_data\20170628\20170106\2450\10000800C\10000800vols_data.csv,0
164,20170628,20170106,2500,10000801,C,E:/Pycharm/data/option_data\20170628\20170106\2500\10000801C\10000801vols_data.csv,0
165,20170628,20170106,2200,10000829,C,E:/Pycharm/data/option_data\20170628\20170106\2200\10000829C\10000829vols_data.csv,0
166,20170628,20170106,2250,10000734,P,E:/Pycharm/data/option_data\20170628\20170106\2250\10000734P\10000734vols_data.csv,0
167,20170628,20170106,2300,10000802,P,E:/Pycharm/data/option_data\20170628\20170106\2300\10000802P\10000802vols_data.csv,1
168,20170628,20170106,2350,10000803,P,E:/Pycharm/data/option_data\20170628\20170106\2350\10000803P\10000803vols_data.csv,0
169,20170628,20170106,2200,10000830,P,E:/Pycharm/data/option_data\20170628\20170106\2200\10000830P\10000830vols_data.csv,0
170,20170125,20170109,2250,10000749,C,E:/Pycharm/data/option_data\20170125\20170109\2250\10000749C\10000749vols_data.csv,0
171,20170125,20170109,2300,10000777,C,E:/Pycharm/data/option_data\20170125\20170109\2300\10000777C\10000777vols_data.csv,1
172,20170125,20170109,2350,10000778,C,E:/Pycharm/data/option_data\20170125\20170109\2350\10000778C\10000778vols_data.csv,0
173,20170125,20170109,2400,10000779,C,E:/Pycharm/data/option_data\20170125\20170109\2400\10000779C\10000779vols_data.csv,0
174,20170125,20170109,2450,10000780,C,E:/Pycharm/data/option_data\20170125\20170109\2450\10000780C\10000780vols_data.csv,0
175,20170125,20170109,2500,10000781,C,E:/Pycharm/data/option_data\20170125\20170109\2500\10000781C\10000781vols_data.csv,0
176,20170125,20170109,2200,10000825,C,E:/Pycharm/data/option_data\20170125\20170109\2200\10000825C\10000825vols_data.csv,0
177,20170125,20170109,2250,10000754,P,E:/Pycharm/data/option_data\20170125\20170109\2250\10000754P\10000754vols_data.csv,0
178,20170125,20170109,2300,10000782,P,E:/Pycharm/data/option_data\20170125\20170109\2300\10000782P\10000782vols_data.csv,1
179,20170125,20170109,2350,10000783,P,E:/Pycharm/data/option_data\20170125\20170109\2350\10000783P\10000783vols_data.csv,0
