,sec,average_accu_orders
13010,13010,21409.520841933725
13011,13011,21411.63645883873
13012,13012,21412.647456786133
13013,13013,21414.129270929254
13014,13014,21415.556702872174
13015,13015,21416.97765785808
13016,13016,21419.985017005605
13017,13017,21422.96402298095
13018,13018,21424.960667332285
13019,13019,21428.09643695096
13020,13020,21430.655435278688
13021,13021,21433.37240051262
13022,13022,21435.28329019557
13023,13023,21436.359285722316
13024,13024,21438.51139902637
13025,13025,21440.727342461047
13026,13026,21442.32793526159
13027,13027,21444.877764886303
13028,13028,21446.530112727534
13029,13029,21447.312970485476
13030,13030,21448.730365094216
13031,13031,21450.28345662768
13032,13032,21451.392950399233
13033,13033,21454.05281538799
13034,13034,21455.510546079924
13035,13035,21457.955263267955
13036,13036,21460.33839649844
13037,13037,21463.07155813154
13038,13038,21465.254194012556
13039,13039,21466.988422225466
13040,13040,21469.632655831134
13041,13041,21472.51844587596
13042,13042,21474.228895821714
13043,13043,21475.599657751638
13044,13044,21478.226054048755
13045,13045,21480.15204997506
13046,13046,21481.84619226296
13047,13047,21483.316418153743
13048,13048,21484.571911925985
13049,13049,21485.584319918988
13050,13050,21486.279543115717
13051,13051,21487.239170650988
13052,13052,21488.882471981262
13053,13053,21490.16979563607
13054,13054,21491.048118765226
13055,13055,21492.350005054574
13056,13056,21493.2858873291
13057,13057,21494.235842191272
13058,13058,21495.435364307763
13059,13059,21496.5020744974
13060,13060,21498.122599252307
13061,13061,21499.140302222084
13062,13062,21500.05844812406
13063,13063,21501.151810671687
13064,13064,21502.199045486926
13065,13065,21503.007598856886
13066,13066,21503.877256130883
13067,13067,21504.718160371165
13068,13068,21506.185482909943
13069,13069,21507.54657772127
13070,13070,21508.83106168552
13071,13071,21509.738534646593
13072,13072,21511.358091608116
13073,13073,21514.66894545853
13074,13074,21515.797413045944
13075,13075,21517.11905349755
13076,13076,21519.318787462886
13077,13077,21521.706866283697
13078,13078,21523.19326213273
13079,13079,21524.785416945542
13080,13080,21527.015318025286
13081,13081,21529.59395565904
13082,13082,21532.664769536226
13083,13083,21534.717318595598
13084,13084,21536.367142783998
13085,13085,21540.91999866112
13086,13086,21544.490185873994
13087,13087,21545.5644574423
13088,13088,21546.165403481566
13089,13089,21546.75517589961
13090,13090,21547.977238169413
13091,13091,21549.248918109894
13092,13092,21550.014766680062
13093,13093,21550.914591641653
13094,13094,21552.833314047817
13095,13095,21554.481975679537
13096,13096,21555.787289949076
13097,13097,21557.123501937713
13098,13098,21558.809421861555
13099,13099,21560.385609359906
13100,13100,21561.928266029347
13101,13101,21564.958285249602
13102,13102,21568.1655286405
13103,13103,21571.742331381807
13104,13104,21573.624573502126
13105,13105,21575.669508296767
13106,13106,21578.23750101174
13107,13107,21579.803893517914
13108,13108,21581.7973056509
13109,13109,21585.021602025496
13110,13110,21586.215776663583
13111,13111,21587.42775344582
13112,13112,21588.924229864955
13113,13113,21590.633217660994
13114,13114,21591.446445097044
13115,13115,21593.09956130568
13116,13116,21595.290518831207
13117,13117,21597.43903873506
13118,13118,21599.989349197847
13119,13119,21603.725127735965
13120,13120,21606.47614223779
13121,13121,21609.011091244232
13122,13122,21612.103788192555
13123,13123,21614.540841204464
13124,13124,21616.960293615153
13125,13125,21619.439865157663
13126,13126,21622.194074213334
13127,13127,21624.202657888054
13128,13128,21625.84751479344
13129,13129,21627.485489448387
13130,13130,21628.624790238533
13131,13131,21630.135562764248
13132,13132,21631.715232825944
13133,13133,21633.383110807787
13134,13134,21634.516872543125
13135,13135,21636.240890293702
13136,13136,21639.456171107435
13137,13137,21642.68040728823
13138,13138,21646.060230579253
13139,13139,21647.378367878453
13140,13140,21649.26494206234
13141,13141,21650.86100515474
13142,13142,21652.35475328672
13143,13143,21653.858720123968
13144,13144,21655.5039450554
13145,13145,21658.69803281975
13146,13146,21660.45104309492
13147,13147,21661.975776629144
13148,13148,21663.02601035254
13149,13149,21665.78885480189
13150,13150,21669.32351355232
13151,13151,21672.874781178536
13152,13152,21675.355848596377
13153,13153,21678.027386664493
13154,13154,21681.23476672327
13155,13155,21684.109835035626
13156,13156,21688.261262534557
13157,13157,21690.577296642656
13158,13158,21693.494304492553
13159,13159,21695.610903032328
13160,13160,21698.147076922043
13161,13161,21700.174128808154
13162,13162,21701.61379108453
13163,13163,21703.709157159745
13164,13164,21705.379004874067
13165,13165,21707.164139695193
13166,13166,21709.724770388337
