,date,timestamp,spot_price,id,OptionPrice,BidPrice,AskPrice,Sigma,BidSigma,AskSigma,Delta,Vega,Gamma,Theta,Rho,RhoB,Risk_free_rate,Borrow_rate,time2expiry,Delta_time_decay,Delta_time,strike,Z,type,expiry,etf_price,tomorrow_bid1,tomorrow_delta,tomorrow_delta_cost,tomorrow_vega,tomorrow_vega_cost,volume
41,2017-12-21,2017-12-21 14:56:15,2.9072,10001126,0.0004883730000000001,0.0005,0.0006,0.196279,0.196973,0.202557,-0.0184011,0.000166257,0.622691,-0.114501,-0.0402682,-0.037937900000000004,0.03,0.275594,0.016094499999999998,-0.0617279,-5.8815800000000005,2.75,-1.62809,0,20171227,2.8925,0.0003,-0.0163644,-0.0,0.000134547,1.2937211538461539e-05,-145.6521
42,2017-12-22,2017-12-22 14:56:08,2.8928,10001126,0.00037968199999999995,0.0003,0.0005,0.19478499999999999,0.1884,0.202942,-0.0163644,0.000134547,0.634699,-0.113382,-0.0343954,-0.0326125,0.03,0.29689299999999996,0.013005000000000001,-0.0634562,-7.099819999999999,2.75,-1.6539099999999998,0,20171227,2.8775,0.0002,-0.00859989,-0.0,5.31885e-05,5.114278846153847e-06,-145.6521
43,2017-12-22,2017-12-22 14:56:08,2.8928,10001126,0.00037968199999999995,0.0003,0.0005,0.19478499999999999,0.1884,0.202942,-0.0163644,0.000134547,0.634699,-0.113382,-0.0343954,-0.0326125,0.03,0.29689299999999996,0.013005000000000001,-0.0634562,-7.099819999999999,2.75,-1.6539099999999998,0,20171227,2.8775,0.0002,-0.00859989,-0.0,5.31885e-05,5.114278846153847e-06,-145.6521
44,2017-12-22,2017-12-22 14:56:08,2.8928,10001126,0.00037968199999999995,0.0003,0.0005,0.19478499999999999,0.1884,0.202942,-0.0163644,0.000134547,0.634699,-0.113382,-0.0343954,-0.0326125,0.03,0.29689299999999996,0.013005000000000001,-0.0634562,-7.099819999999999,2.75,-1.6539099999999998,0,20171227,2.8775,0.0002,-0.00859989,-0.0,5.31885e-05,5.114278846153847e-06,-145.6521
45,2017-12-25,2017-12-25 14:56:13,2.8928,10001090,0.000504735,0.0002,0.0003,0.187136,0.161933,0.171926,-0.030335300000000006,0.00015634200000000002,1.60893,-0.307809,-0.0350396,-0.0336172,0.03,0.851268,0.00620489,-0.0796208,-22.5183,2.8,-1.3969200000000002,0,20171227,2.8775,0.0001,-0.00832734,-0.0,3.67857e-05,3.537086538461539e-06,-57.9942
46,2017-12-25,2017-12-25 14:56:13,2.8928,10001126,0.000160355,0.0002,0.0003,0.24378200000000005,0.250681,0.264658,-0.00859989,5.31885e-05,0.42018199999999994,-0.12491,-0.0062816,-0.00610129,0.03,0.851268,0.00620489,-0.022084799999999998,-6.161169999999999,2.75,-2.31189,0,20171227,2.8775,0.0001,-0.00186907,-0.0,9.66007e-06,9.288528846153847e-07,-57.9942
47,2017-12-25,2017-12-25 14:56:13,2.8928,10001126,0.000160355,0.0002,0.0003,0.24378200000000005,0.250681,0.264658,-0.00859989,5.31885e-05,0.42018199999999994,-0.12491,-0.0062816,-0.00610129,0.03,0.851268,0.00620489,-0.022084799999999998,-6.161169999999999,2.75,-2.31189,0,20171227,2.8775,0.0001,-0.00186907,-0.0,9.66007e-06,9.288528846153847e-07,-57.9942
48,2017-12-26,2017-12-26 14:56:05,2.9041,10001091,0.00126616,0.0012,0.0013,0.191629,0.18903599999999998,0.192932,-0.0878742,0.000258296,5.12969,-1.15519,-0.0388793,-0.0375341,0.03,1.44415,0.00311549,-0.176378,-60.8196,2.85,-1.0318399999999999,0,20171227,2.8905,0.0249,-0.990129,-0.0,3.0191700000000007e-06,2.903048076923078e-07,-68.65979999999999
49,2017-12-26,2017-12-26 14:56:05,2.9041,10001090,0.000108639,0.0001,0.0002,0.24102600000000002,0.23861,0.260881,-0.00832734,3.67857e-05,0.580832,-0.176485,-0.00458644,-0.00449189,0.03,1.44415,0.00311549,-0.0278333,-13.4044,2.8,-2.30023,0,20171227,2.8905,0.0,-0.0235079,-0.0,7.96532e-06,7.658961538461538e-07,-68.65979999999999
50,2017-12-26,2017-12-26 14:56:05,2.9041,10001126,2.7463400000000002e-05,0.0001,0.0002,0.310747,0.354124,0.384556,-0.00186907,9.660069999999999e-06,0.118307,-0.0558496,-0.00010037200000000001,-9.89401e-05,0.03,1.44415,0.00311549,-0.0025337,-0.456729,2.75,-3.5914699999999997,0,20171227,2.8905,0.0001,-4.75227e-11,-0.0,4.49672e-14,4.3237692307692315e-15,-68.65979999999999
