,date,tomorrow_bid1,OptionPrice,tomorrow_delta_cost,tomorrow_vega_cost,volume,profit,cum_profit
127,2018-02-05,0.0232,0.00486433,-0.0,-4.294442307692308e-07,-74.7,1.3696424695159615,5.325657252027257
128,2018-02-05,0.0232,0.00486433,-0.0,-4.294442307692308e-07,-74.7,1.3696424695159615,6.695299721543218
129,2018-02-06,0.0331,0.0130815,-0.0,-4.6206730769230785e-07,-336.7,6.740073371937498,13.435373093480717
130,2018-02-06,0.0528,0.0231021,-0.0,-5.154615384615386e-07,-72.14999999999998,2.1426662944499992,15.578039387930716
131,2018-02-06,0.0528,0.0231021,-0.0,-5.154615384615386e-07,-72.14999999999998,2.1426662944499992,17.720705682380714
132,2018-02-07,0.0281,0.011222,-0.0,-4.080115384615385e-07,-599.1999999999998,10.113053119486151,27.833758801866864
133,2018-02-07,0.0682,0.0329403,-0.0,-4.961019230769232e-07,-128.4,4.527281780513077,32.36104058237994
134,2018-02-07,0.0975,0.0524767,-0.0,-4.801423076923079e-07,-128.4,5.780930069727693,38.14197065210764
135,2018-02-08,0.0959,0.0170713,-0.0,-4.5365192307692317e-07,-511.7,40.33641365631096,78.4783843084186
136,2018-02-08,0.1279,0.0282885,-0.0,-4.420980769230769e-07,-109.65,10.922352498945868,89.40073680736447
137,2018-02-08,0.1936,0.0681329,-0.0,-3.705769230769231e-07,-109.65,13.757426881240386,103.15816368860486
138,2018-02-09,0.0198,0.036816,-0.0,-2.9445000000000005e-07,-224.0,-3.8116499568,99.34651373180486
139,2018-02-09,0.0693,0.098382,-0.0,-4.193711538461539e-07,-48.0,-1.3959561298153844,97.95055760198947
140,2018-02-09,0.0969,0.127799,-0.0,-4.0032884615384615e-07,-48.0,-1.483171215784615,96.46738638620486
141,2018-02-12,0.0094,0.0211997,-0.0,-1.915055769230769e-07,-155.39999999999995,-1.8337031399666528,94.6336832462382
142,2018-02-12,0.0094,0.0211997,-0.0,-1.915055769230769e-07,-33.3,-0.39293638713571144,94.2407468591025
143,2018-02-12,0.0379,0.06946419999999999,-0.0,-3.881288461538462e-07,-33.3,-1.0511007846905764,93.18964607441193
144,2018-02-13,0.0134,0.0145922,-0.0,-2.2990000000000004e-07,-187.6,-0.2236998492399998,92.96594622517192
145,2018-02-13,0.009000000000000001,0.00893756,-0.0,-1.7528538461538462e-07,-40.2,0.0025030415275384783,92.96844926669945
146,2018-02-13,0.009000000000000001,0.00893756,-0.0,-1.7528538461538462e-07,-40.2,0.0025030415275384783,92.97095230822698
147,2018-02-14,0.002,0.0134884,-0.0,-6.307019230769233e-08,-205.8,-2.364325699845577,90.6066266083814
148,2018-02-14,0.002,0.0134884,-0.0,-6.307019230769233e-08,-44.1,-0.5066412213954807,90.09998538698592
149,2018-02-14,0.0013,0.00895807,-0.0,-4.226653846153846e-08,-44.1,-0.3377227509543462,89.76226263603158
150,2018-02-22,0.0025,0.00749122,-0.0,-7.551250000000001e-08,-72.8,-0.36336631330999997,89.39889632272158
151,2018-02-22,0.0009,0.00225792,-0.0,-3.1990576923076934e-08,-15.6,-0.021184051053000003,89.37771227166859
152,2018-02-22,0.0009,0.00225792,-0.0,-3.1990576923076934e-08,-15.6,-0.021184051053000003,89.35652822061559
153,2018-02-23,0.0008,0.00251941,-0.0,-1.7872807692307694e-08,-72.8,-0.12517434914040002,89.23135387147519
154,2018-02-23,0.0008,0.00251941,-0.0,-1.7872807692307694e-08,-15.6,-0.026823074815800003,89.2045307966594
155,2018-02-23,0.0004,0.000990145,-0.0,-2.868192307692308e-09,-15.6,-0.0092063067438,89.19532448991559
156,2018-02-26,0.0008,0.000454226,-0.0,-1.1125500000000004e-08,0.0,-0.0,89.19532448991559
157,2018-02-26,0.0008,0.000454226,-0.0,-1.1125500000000004e-08,0.0,-0.0,89.19532448991559
